Unnamed: 0;genre;track_id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
1088;grindcore;4ilCHrHGlfyJ6zhwNPRJJ0;0.222;0.947;1;-5.323;1;0.177;3.35E-06;0.941;0.173;0.482;117.458;audio_features;4ilCHrHGlfyJ6zhwNPRJJ0;spotify:track:4ilCHrHGlfyJ6zhwNPRJJ0;https://api.spotify.com/v1/tracks/4ilCHrHGlfyJ6zhwNPRJJ0;https://api.spotify.com/v1/audio-analysis/4ilCHrHGlfyJ6zhwNPRJJ0;40360;1
1089;grindcore;39biXvSQsiq9ADm23rFaKq;0.301;0.996;10;-4.071;1;0.179;4.58E-06;0.95;0.217;0.143;119.289;audio_features;39biXvSQsiq9ADm23rFaKq;spotify:track:39biXvSQsiq9ADm23rFaKq;https://api.spotify.com/v1/tracks/39biXvSQsiq9ADm23rFaKq;https://api.spotify.com/v1/audio-analysis/39biXvSQsiq9ADm23rFaKq;171520;4
1090;grindcore;4bd3GWDUHQvWTAxLp0gUVS;0.256;0.926;3;-4.573;1;0.0859;3.70E-05;0.753;0.125;0.193;77.275;audio_features;4bd3GWDUHQvWTAxLp0gUVS;spotify:track:4bd3GWDUHQvWTAxLp0gUVS;https://api.spotify.com/v1/tracks/4bd3GWDUHQvWTAxLp0gUVS;https://api.spotify.com/v1/audio-analysis/4bd3GWDUHQvWTAxLp0gUVS;302813;4
1091;grindcore;2VkEafnsYkn6oYn2LNVTer;0.284;0.98;1;-6.13;1;0.172;2.16E-06;4.26E-05;0.364;0.103;124.84;audio_features;2VkEafnsYkn6oYn2LNVTer;spotify:track:2VkEafnsYkn6oYn2LNVTer;https://api.spotify.com/v1/tracks/2VkEafnsYkn6oYn2LNVTer;https://api.spotify.com/v1/audio-analysis/2VkEafnsYkn6oYn2LNVTer;134547;4
1092;grindcore;3o9vRPTxlKxbtK3NTEvJWl;0.183;0.898;1;-9.237;1;0.0947;0.00487;0.802;0.433;0.112;107.497;audio_features;3o9vRPTxlKxbtK3NTEvJWl;spotify:track:3o9vRPTxlKxbtK3NTEvJWl;https://api.spotify.com/v1/tracks/3o9vRPTxlKxbtK3NTEvJWl;https://api.spotify.com/v1/audio-analysis/3o9vRPTxlKxbtK3NTEvJWl;114333;4
1093;groove;40hgbG1iX08Apyy0FesR7p;0.598;0.673;2;-10.431;1;0.0693;0.0422;6.84E-05;0.289;0.59;102.035;audio_features;40hgbG1iX08Apyy0FesR7p;spotify:track:40hgbG1iX08Apyy0FesR7p;https://api.spotify.com/v1/tracks/40hgbG1iX08Apyy0FesR7p;https://api.spotify.com/v1/audio-analysis/40hgbG1iX08Apyy0FesR7p;197693;4
1094;groove;5QVX213rGhKaNwJPVJnHw4;0.813;0.875;1;-4.627;1;0.0448;0.0768;0.00454;0.0415;0.96;121.584;audio_features;5QVX213rGhKaNwJPVJnHw4;spotify:track:5QVX213rGhKaNwJPVJnHw4;https://api.spotify.com/v1/tracks/5QVX213rGhKaNwJPVJnHw4;https://api.spotify.com/v1/audio-analysis/5QVX213rGhKaNwJPVJnHw4;220547;4
1095;groove;2dPJtT2yf5CqUWKDD4PycO;0.646;0.885;2;-5.846;1;0.0391;3.56E-05;0.0037;0.0797;0.669;130.307;audio_features;2dPJtT2yf5CqUWKDD4PycO;spotify:track:2dPJtT2yf5CqUWKDD4PycO;https://api.spotify.com/v1/tracks/2dPJtT2yf5CqUWKDD4PycO;https://api.spotify.com/v1/audio-analysis/2dPJtT2yf5CqUWKDD4PycO;225253;4
1096;groove;449u2me7lmUreBa6KpXrDQ;0.583;0.132;9;-15.067;0;0.057;0.192;1.91E-05;0.258;0.0695;102.937;audio_features;449u2me7lmUreBa6KpXrDQ;spotify:track:449u2me7lmUreBa6KpXrDQ;https://api.spotify.com/v1/tracks/449u2me7lmUreBa6KpXrDQ;https://api.spotify.com/v1/audio-analysis/449u2me7lmUreBa6KpXrDQ;201733;4
1097;groove;3gJgUanZ5JcFZJ1a5hM3dw;0.524;0.484;4;-8.151;0;0.0462;0.304;0.000228;0.0946;0.542;78.884;audio_features;3gJgUanZ5JcFZJ1a5hM3dw;spotify:track:3gJgUanZ5JcFZJ1a5hM3dw;https://api.spotify.com/v1/tracks/3gJgUanZ5JcFZJ1a5hM3dw;https://api.spotify.com/v1/audio-analysis/3gJgUanZ5JcFZJ1a5hM3dw;122640;4
1098;groove;0t8Hl7fmIGYKWYOGNE2eA9;0.476;0.695;1;-10.133;0;0.0517;0.314;7.56E-06;0.219;0.812;101.93;audio_features;0t8Hl7fmIGYKWYOGNE2eA9;spotify:track:0t8Hl7fmIGYKWYOGNE2eA9;https://api.spotify.com/v1/tracks/0t8Hl7fmIGYKWYOGNE2eA9;https://api.spotify.com/v1/audio-analysis/0t8Hl7fmIGYKWYOGNE2eA9;232827;4
1099;groove;3WK92NLmP1P4v5N0Y2yGm8;0.677;0.183;9;-10.632;1;0.0517;0.751;0.000202;0.148;0.629;119.735;audio_features;3WK92NLmP1P4v5N0Y2yGm8;spotify:track:3WK92NLmP1P4v5N0Y2yGm8;https://api.spotify.com/v1/tracks/3WK92NLmP1P4v5N0Y2yGm8;https://api.spotify.com/v1/audio-analysis/3WK92NLmP1P4v5N0Y2yGm8;170960;4
1100;groove;77Bb31csIH2V2A0jQQ2QEH;0.83;0.694;9;-9.352;0;0.0705;0.149;0;0.0618;0.921;132.473;audio_features;77Bb31csIH2V2A0jQQ2QEH;spotify:track:77Bb31csIH2V2A0jQQ2QEH;https://api.spotify.com/v1/tracks/77Bb31csIH2V2A0jQQ2QEH;https://api.spotify.com/v1/audio-analysis/77Bb31csIH2V2A0jQQ2QEH;204453;4
